"","DPP4","FAP","DPP8","DPP9","DPP2"
"NonIBDmean",0.0195541501319224,0.00127903986099313,0.00194006795416152,0.00825400673492271,0.00058162400657235
"CDmean",0.0111410159468084,0.00129236849159368,0.00165053153159422,0.00695884682379634,0.000455860687422462
"UCmean",0.00603773358698786,0.00598150710220158,0.00195050891364738,0.00570600673388901,0.000699980919208398
